incident_id,incident_label,threat_class,affected_stakeholder,loss_magnitude,loss_unit,linked_family,attribution_confidence,evidence_grade,data_origin,source_key,source_locator,notes
I01,SpeculativeLeakageCapacityShock,TransientExecution,CloudOperator,8.4,million_usd_estimate,SpeculationControls,0.68,E2,Inferred,retbleed2022,USENIX22:paper+bench,seed incident linkage for speculative-mitigation gap
I02,SpeculativeTenantChurn,TransientExecution,EnterpriseCustomer,3.1,million_usd_estimate,SpeculationControls,0.57,E3,Synthetic,anderson2006economics,Science06:econ-security,seed incident linkage for downstream tenant burden
I03,TEEIsolationFailureIncident,IsolationBypass,EnterpriseCustomer,5.2,million_usd_estimate,TrustedExecutionEnvironments,0.61,E2,Inferred,sanctum2016,USENIX16:sec6-eval,seed incident linkage for weak enclave isolation
I04,EnclaveRuntimeOutage,IsolationBypass,CloudOperator,2.7,million_usd_estimate,TrustedExecutionEnvironments,0.54,E2,Inferred,graphenesgx2017,ATC17:sec6-eval,seed incident linkage for adaptation/ops fragility
I05,CryptoKeyExposureEvent,DataAtRestExposure,EnterpriseCustomer,6.8,million_usd_estimate,CryptoAccelerators,0.59,E2,Inferred,opentitan2024,arXiv2412.14317:sec4-6,seed incident linkage for key-management weakness
I06,CryptoCompliancePenalty,DataInTransitExposure,OEMIntegrator,1.9,million_usd_estimate,CryptoAccelerators,0.46,E3,Synthetic,anderson2001economics,ACSAC01:econ-perspective,seed incident linkage for contractual non-compliance
I07,RowhammerServiceDisruption,RowhammerBitFlip,CloudOperator,4.5,million_usd_estimate,RowhammerMitigations,0.64,E2,Inferred,trrespass2020,SP20:TRR-bypass-eval,seed incident linkage for insufficient rowhammer hardening
I08,RowhammerDataIntegrityLoss,RowhammerBitFlip,EnterpriseCustomer,2.2,million_usd_estimate,RowhammerMitigations,0.58,E2,Inferred,blacksmith2022,SP22:freq-domain-rowhammer,seed incident linkage for durability gap
I09,MemoryCorruptionExploitWindow,MemoryCorruption,CloudOperator,3.8,million_usd_estimate,MemorySafetyMitigations,0.62,E2,Inferred,arm_mte2021,ArmMTE:perf-guidance,seed incident linkage for partial memory-safety deployment
I10,MemorySafetyMigrationDelay,MemoryCorruption,OEMIntegrator,1.4,million_usd_estimate,MemorySafetyMitigations,0.49,E3,Synthetic,cheri2015,ISCA14:CHERI-eval,seed incident linkage for transition lag
I11,DelayedRecoveryEscalation,RuntimeCompromise,CloudOperator,5.6,million_usd_estimate,RuntimeDetectionResponse,0.66,E2,Inferred,nist800193,NIST800-193:sec3-5,seed incident linkage for weak reactive recovery pipeline
I12,ReactiveResponseReputationHit,RuntimeCompromise,EnterpriseCustomer,2.9,million_usd_estimate,RuntimeDetectionResponse,0.53,E3,Synthetic,anderson2006economics,Science06:econ-security,seed incident linkage for delayed response externality
